sample_alias	biosample_accession	experiment_accession	run_accession	instrument_model	library_layout	read_length_bp	read_count	base_count	archive_filename	fastq_bytes	fastq_md5	https_url
DDLPS_1a	SAMN20750430	SRX12162477	SRR15871436	Illumina HiSeq 2500	SINGLE	36	16359804	588952944	SRR15871436.fastq.gz	440224147	31e5afa5d0433a693c4bb64de7f84e8e	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/036/SRR15871436/SRR15871436.fastq.gz
DDLPS_1b	SAMN20750431	SRX12162478	SRR15871435	Illumina HiSeq 2500	SINGLE	36	12589842	453234312	SRR15871435.fastq.gz	330388616	fd8884a91fb38f8997081efb46c773c5	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/035/SRR15871435/SRR15871435.fastq.gz
DDLPS_1c	SAMN20750432	SRX12162481	SRR15871432	Illumina HiSeq 2500	SINGLE	36	16026610	576957960	SRR15871432.fastq.gz	423736973	851f7a9e680102cc7a93c535f3192e84	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/032/SRR15871432/SRR15871432.fastq.gz
DDLPS_2	SAMN20750433	SRX12162482	SRR15871431	Illumina HiSeq 2500	SINGLE	36	8351915	300668940	SRR15871431.fastq.gz	219419109	5f827e9c26e835ffcfe9e64c1dc29b61	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/031/SRR15871431/SRR15871431.fastq.gz
DDLPS_3a	SAMN20750434	SRX12162483	SRR15871430	Illumina HiSeq 2500	SINGLE	36	22798191	820734876	SRR15871430.fastq.gz	509874512	130081581524cb80090640c981a823e6	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/030/SRR15871430/SRR15871430.fastq.gz
DDLPS_3b	SAMN20750435	SRX12162484	SRR15871429	Illumina HiSeq 2500	SINGLE	36	53935528	1941679008	SRR15871429.fastq.gz	1184447852	291c9ba517db6ec0e8d55c6212390b16	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/029/SRR15871429/SRR15871429.fastq.gz
WDLPS_1a	SAMN20750436	SRX12162485	SRR15871428	Illumina HiSeq 2500	SINGLE	36	21093520	759366720	SRR15871428.fastq.gz	474102905	eddefeae830963ffa86f7cd59638659d	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/028/SRR15871428/SRR15871428.fastq.gz
WDLPS_1b	SAMN20750437	SRX12162486	SRR15871427	Illumina HiSeq 2500	SINGLE	36	23724229	854072244	SRR15871427.fastq.gz	533819104	528812a6cf90cc65cb0c57c6085019b9	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/027/SRR15871427/SRR15871427.fastq.gz
WDLPS_1c	SAMN20750438	SRX12162487	SRR15871426	Illumina HiSeq 2500	SINGLE	36	27755127	999184572	SRR15871426.fastq.gz	625720794	b366d25c230d36e613b04948deca575a	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/026/SRR15871426/SRR15871426.fastq.gz
WDLPS_1d	SAMN20750439	SRX12162488	SRR15871425	Illumina HiSeq 2500	SINGLE	36	21325354	767712744	SRR15871425.fastq.gz	480896616	0f714f53bb8c6c811df58daeff214c0e	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/025/SRR15871425/SRR15871425.fastq.gz
WDLPS_2	SAMN20750440	SRX12162479	SRR15871434	Illumina HiSeq 2500	SINGLE	36	16680842	600510312	SRR15871434.fastq.gz	374902571	e7b9d772620bd08602881247fcec4a3f	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/034/SRR15871434/SRR15871434.fastq.gz
WDLPS_3	SAMN20750441	SRX12162480	SRR15871433	Illumina HiSeq 2500	SINGLE	36	25456620	916438320	SRR15871433.fastq.gz	574367101	07243c418d787c2b90064e29a20fd1c6	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/033/SRR15871433/SRR15871433.fastq.gz
